NCPPB ID	BioSample	NCBI strain	NCBI assemblies	PhytoBacExplorer assemblies	NCPPB_number	taxon	genus	species	sub_species	pathovar	catalogue_name	name_as_received	synonyms	organism_author	organism_type	type_strain	pathotype_strain	country_of_origin	country_of_isolation	location	location_name	host	isolated_from	isolated_by	donor	donor_institution	donor_reference	year_of_accession	year_of_isolation	pathogenic_to	pathogenicity_confirmed	literature	public_notes	other_collections	sequence_types	sequenced	sequencing_notes	url_link_ncbi	url_link_q_bank	detail_url	Basis for match
NCPPB 1486					1486	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Uganda		2	NCPPB Primary Storage	Arachis hypogaea		A.C. Hayward B1721				1963	1963		No		Biovar III.			No				https://ncppb.fera.co.uk/furtherinfo/1486	
NCPPB 1494					1494	Pseudomonas savastanoi pv. phaseolicola					Pseudomonas syringae pv. phaseolicola ( Burkholder 1926 ) Young et al. 1976	Pseudomonas phaseolicola Burkholder 1926	Pseudomonas syringae pv. phaseolicola (Burkholder 1926) Young et al. 1978	( Burkholder 1926 ) Gardan et al. 1992	Bacteria	No	No	UK		2	NCPPB Primary Storage	Phaseolus coccineus		R.A. Lelliott				1963	1963		No					No				https://ncppb.fera.co.uk/furtherinfo/1494	
NCPPB 1497					1497	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	P. vignae		van Hall 1902	Bacteria	No	No			2	NCPPB Primary Storage				C.M. Moskovets		1025	1963			Yes					No				https://ncppb.fera.co.uk/furtherinfo/1497	
NCPPB 1501					1501	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	Pseudomonas syringae van Hall 1902		van Hall 1902	Bacteria	No	No	UK		2	NCPPB Primary Storage	Prunus persica (peach)		ex P. Matthews 91	E. Billing		M91	1963			Yes		Intermediate between P. syringae and P. morsprunorum (E. Billing pers. comm.). REP-PCR close to type and some others of P.s.morsprunorum (2995,1502). Genomospecies 3; rpoD same as former type of P. s. morsprunorum NCPPB 2995 and P.avellanae NCPPB 3487T (weak Levan), 15-4-2016	ICMP 3690		No				https://ncppb.fera.co.uk/furtherinfo/1501	
NCPPB 1502					1502	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	Pseudomonas syringae van Hall 1902		van Hall 1902	Bacteria	No	No	UK		2	NCPPB Primary Storage	Prunus avium		ex P. Matthews 122	E. Billing		M122	1963			Yes		REP-PCR close to type and some others of P.s.morsprunorum (2995, 1501). Genomospecies 3; rpoD same as former type of P. s. morsprunorum NCPPB 2995 and P.avellanae NCPPB 3487T (weak Levan), 15-4-2016			No				https://ncppb.fera.co.uk/furtherinfo/1502	
NCPPB 1503					1503	Pseudomonas sp.					Pseudomonas sp.	Pseudomonas sp. (not pathogenic)		Migula 1894	Bacteria	No	No	UK		2	NCPPB Primary Storage	Agaricus bisporus			E. Billing		381/1	1963			No		Fatty acids typical of Pseudomonas sp.LOPAT Va Associated with plant material; not known to be pathogenic.Associated with plant material; not known to be pathogenic.			No				https://ncppb.fera.co.uk/furtherinfo/1503	
NCPPB 1506					1506	Pseudomonas savastanoi pv. savastanoi					Pseudomonas savastanoi pv. savastanoi (ex Smith 1908) Gardan et al. 1992	Pseudomonas savastanoi Smith 1908	Pseudomonas syringae pv. savastanoi (ex Smith 1908) Young Dye & Wilkie 1978	(ex Smith 1908) Gardan et al. 1992	Bacteria	No	No	Italy		2	NCPPB Primary Storage	Olea europaea		M. Ribaldi Strain Perugia 21				1963	1958		Yes					No				https://ncppb.fera.co.uk/furtherinfo/1506	
NCPPB 1511					1511	Pseudomonas cichorii					Pseudomonas cichorii (Swingle 1925) Stapp 1928	Pseudomonas cichorii		(Swingle 1925) Stapp 1928	Bacteria	No	No	USA		2	NCPPB Primary Storage	Brassica oleracea var. capitata		ex C. Wehlburg	P. Thayer		62-4	1963	1962		Yes		LOPAT Group III			No				https://ncppb.fera.co.uk/furtherinfo/1511	
NCPPB 1513					1513	Pseudomonas cichorii					Pseudomonas cichorii (Swingle 1925) Stapp 1928	Pseudomonas cichorii		(Swingle 1925) Stapp 1928	Bacteria	No	No	USA		2	NCPPB Primary Storage	Apium graveolens var. dulce		P. Thayer 140				1963	1962		Yes		LOPAT Group III. REP-PCR cluster 31			No				https://ncppb.fera.co.uk/furtherinfo/1513	
NCPPB 1557					1557	Pseudomonas sp.					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas sp. Migula 1894	(Brown 1918) Stevens 1925	Bacteria	No	No	UK				Brassica oleracea var. botrytis		G.E. Jones 60/63				1963	1963		No		LOPAT Gp IVb (NCPPB) | Whole genome sequencing indicates this strain is not P. marginalis (NCPPB July 2023)							https://ncppb.fera.co.uk/furtherinfo/1557	
NCPPB 1558					1558	Pseudomonas petroselini					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas petroselini Sawada et al. 2022	(Brown 1918) Stevens 1925	Bacteria	No	No	UK				Phaseolus coccineus		G.E. Jones 64/63				1963	1963		No		Whole genome sequencing places this strain in P. petroselini (NCPPB July 2023)	ICPB PM173						https://ncppb.fera.co.uk/furtherinfo/1558	
NCPPB 1559					1559	Pseudomonas marginalis pv. marginalis					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925		(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Lobelia erinus		R.A. Lelliott Lobl				1963	1963		No		Whole genome sequencing confirms this strain is P. marginalis (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1559	
NCPPB 1579					1579	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Hawaii		2	NCPPB Primary Storage	Zingiber officinale		ex V.L. Quinon	A.C. Hayward	ex M. Aragaki GW	B2061	1963	1961		Yes		Biovar IV. Race 1.	ATCC 33194		No				https://ncppb.fera.co.uk/furtherinfo/1579	
NCPPB 1580					1580	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Hawaii		2	NCPPB Primary Storage	Solanum lycopersicum		ex M. Aragaki TW	A.C. Hayward	.	B2062	1963	1959		Yes		Biovar IV			No				https://ncppb.fera.co.uk/furtherinfo/1580	
NCPPB 1581					1581	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Hawaii				Strelitzia reginae		ex V.L. Quinon	A.C. Hayward	ex M. Aragaki SW	B2063	1963	1961		Yes		Biovar III. Race 1. Phylotype I (NCPPB May 2021)							https://ncppb.fera.co.uk/furtherinfo/1581	
NCPPB 1584					1584	Ralstonia solanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Yabuuchi et al. 1996	Bacteria	No	No	Cyprus		2	NCPPB Primary Storage	Solanum tuberosum		R.A. Lelliott				1963	1963		Yes		Biovar II.SMT reference strain (EC official method),	SMT23, CFBP 4598		No				https://ncppb.fera.co.uk/furtherinfo/1584	
NCPPB 1601					1601	Pseudomonas fluorescens					Pseudomonas fluorescens Migula 1895			(Trevisan 1889) Migula 1895	Bacteria	No	No			2	NCPPB Primary Storage	Isolated from creamery waste		ex O. Lysenko	ATCC 11251			1963			No		Biotype C.	ATCC 948, NRRL B-10, Stanier 181		No				https://ncppb.fera.co.uk/furtherinfo/1601	
NCPPB 1603					1603	Pseudomonas sp.					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas sp. Migula 1894	(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Dahlia sp.		M.R.M. Clark Ps XXIV				1964	1964		Yes		Whole genome sequencing indicates this strain is not P. marginalis (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1603	
NCPPB 1604					1604	Pseudomonas sp.					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas sp. Migula 1894	(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Dahlia sp.		M.R.M. Clark Ps XXII				1964	1964		Yes		Whole genome sequencing indicates this strain is not P. marginalis (NCPPB July 2023)	ICPB PM174		No				https://ncppb.fera.co.uk/furtherinfo/1604	
NCPPB 1605					1605	Pseudomonas sp.					Pseudomonas sp.	P. marginalis		Migula 1894	Bacteria	No	No	UK		2	NCPPB Primary Storage	Hyacinthus orientalis		M.R.M. Clark PS XX				1964	1964		Yes		Pathogenic to lettuce (M.R.M. Clark). LOPAT Gp Va (NCPPB).			No				https://ncppb.fera.co.uk/furtherinfo/1605	
NCPPB 1606					1606	Pseudomonas sp.					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas sp. Migula 1894	(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Dahlia sp.		M.R.M. Clark Ps 23				1964	1964		Yes		Whole genome sequencing indicates this strain is not P. marginalis (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1606	
NCPPB 1608					1608	Robbsia andropogonis					Burkholderia andropogonis (Smith 1911) Gillis et al. 1995	Pseudomonas stizolobii.	Pseudomonas andropogonis (Smith 1911) Stapp 1928, Burkholderia adropogonis (Smith 1911) Gillis et al. 1995, Paraburkholderia andropogonis (Gillis et al. 1995) Sawana et al. 2014	Lopes-Santos et al 2017	Bacteria	No	No	Zimbabwe		2	NCPPB Primary Storage	Bougainvillea sp.			A.C. Hayward		B1351	1964	1962		No					No				https://ncppb.fera.co.uk/furtherinfo/1608	
NCPPB 1611					1611	Pseudomonas sp.					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas sp. Migula 1894	(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Rheum rhaponticum		M.R.M. Clark R8				1964	1964		Yes		Whole genome sequencing indicates this strain is not P. marginalis (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1611	
NCPPB 1613					1613	Herbaspirillum rubrisubalbicans					Herbaspirillum rubrisubalbicans (Christopher and Edgerton 1930) Baldani et al. 1996	Pseudomonas rubrisubalbicans	Pseudomonas rubrisubalbicans (Christopher and Edgerton 1930) Baldani et al. 1996	(Christopher and Edgerton 1930) Baldani et al. 1996	Bacteria	No	No	Nigeria		2	NCPPB Primary Storage	Saccharum officinarum		ex S.D. Agboola 973	A.C. Hayward		B2198B	1964	1964		No					No				https://ncppb.fera.co.uk/furtherinfo/1613	
NCPPB 1614					1614	Ralstonia solanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Yabuuchi et al. 1996	Bacteria	No	No	Malaysia		2	NCPPB Primary Storage	Solanum tuberosum		A.C. Hayward B2217				1964	1964		Yes		Biovar II.			No				https://ncppb.fera.co.uk/furtherinfo/1614	
NCPPB 1617					1617	Pseudomonas corrugata					Pseudomonas corrugataRoberts and Scarlett 1981 emend. Sutra et al. 1997	Pseudomonas sp. (not pathogenic)		( ex Scarlett et al. 1978) Roberts & Scarlett 1981	Bacteria	No	No	Zambia		2	NCPPB Primary Storage	Solanum lycopersicum		A.C. Hayward B2249D				1964	1964		Yes					No				https://ncppb.fera.co.uk/furtherinfo/1617	
NCPPB 1621					1621	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Mauritius		2	NCPPB Primary Storage	Solanum tuberosum		A.C. Hayward B394B				1964	1960		No		Carbohydrate metabolism different from Biotypes I-IV. Phylotype I (NCPPB May 2021)			No				https://ncppb.fera.co.uk/furtherinfo/1621	
NCPPB 1626					1626	Pseudomonas syringae pv. apii					Pseudomonas syringae pv. apii (Jagger 1921) Young, Dye & Wilkie 1978	Pseudomonas apii		(Jagger 1921) Young, Dye & Wilkie 1978	Bacteria	No	Yes	USA		2	NCPPB Primary Storage	Apium graveolens var. dulce		ex W.H. Burkholder PJ2	ICPB PA102			1964	1942		No			ATCC 9654, NRRL B-772, ICMP 2814, CFBP 2103, LMG 2132		No				https://ncppb.fera.co.uk/furtherinfo/1626	
NCPPB 1647					1647	Pseudomonas savastanoi pv. phaseolicola					Pseudomonas syringae pv. phaseolicola ( Burkholder 1926 ) Young et al. 1976	Pseudomonas phaseolicola Burkholder 1926	Pseudomonas syringae pv. phaseolicola (Burkholder 1926) Young et al. 1978	( Burkholder 1926 ) Gardan et al. 1992	Bacteria	No	No	Tanzania		2	NCPPB Primary Storage	Dolichos sp. (wild)		A.C. Hayward B2317				1964	1964		No					No				https://ncppb.fera.co.uk/furtherinfo/1647	
NCPPB 1652					1652	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	P. pisi		van Hall 1902	Bacteria	No	No	South Africa				Pisum sativum		ex B.H. Boelema P2	A.C. Hayward		B2328 e	1964	1957		Yes			ICPB PP125						https://ncppb.fera.co.uk/furtherinfo/1652	
NCPPB 1653					1653	Pseudomonas syringae pv. pisi					Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	Pseudomonas  pisi		(Sacket 1916) Young, Dye & Wilkie 1978	Bacteria	No	No	South Africa				Pisum sativum		ex B.H. Boelema P7	A.C. Hayward		B2329	1964	1961		Yes									https://ncppb.fera.co.uk/furtherinfo/1653	
NCPPB 1673					1673	Herbaspirillum rubrisubalbicans					Herbaspirillum rubrisubalbicans (Christopher and Edgerton 1930) Baldani et al. 1996	Pseudomonas rubrisubalbicans	Pseudomonas rubrisubalbicans (Christopher and Edgerton 1930) Baldani et al. 1996	(Christopher and Edgerton 1930) Baldani et al. 1996	Bacteria	No	No	Tanzania				Saccharum officinarum		A.C. Hayward B2541B			B2541B	1964	1964		No									https://ncppb.fera.co.uk/furtherinfo/1673	
NCPPB 1676					1676	Pseudomonas grimontii					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925		Baïda et al. 2002	Bacteria	No	No	UK				Phaseolus vulgaris		G.E. Jones C410				1964	1963		No		Whole genome sequencing places this strain in P. grimontii (NCPPB July 2023)							https://ncppb.fera.co.uk/furtherinfo/1676	
NCPPB 1677					1677	Pseudomonas grimontii					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas grimontii Baïda et al. 2002	(Brown 1918) Stevens 1925	Bacteria	No	No	UK				Dianthus caryophyllus		G.E. Jones C422				1964	1963		No		Whole genome sequencing places this strain in P. grimontii (NCPPB July 2023)							https://ncppb.fera.co.uk/furtherinfo/1677	
NCPPB 1678					1678	Pseudomonas grimontii					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925		(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Dahlia sp.		G.E. Jones C444				1964	1964		No		Whole genome sequencing places this strain in P. grimontii (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1678	
NCPPB 1679					1679	Pseudomonas petroselini					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas petroselini Sawada et al. 2022	(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Chrysanthemum morifolium		G.E. Jones C461				1964	1964		No		Whole genome sequencing places this strain in P. petroselini (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1679	
NCPPB 1683					1683	Stenotrophomonas hibiscicola					Stenotrophomonas maltophilia (Hugh)	Pseudomonas hibisicola	Pseudomonas hibiscicola Moniz 1963	(Moniz 1963) Nguyen et al. 2024	Bacteria	Yes	No	India		2	NCPPB Primary Storage	Hibiscus rosasinensis			G. Rangaswami			1964			No			ATCC 19867, ICMP 3945		No				https://ncppb.fera.co.uk/furtherinfo/1683	
NCPPB 1689					1689	Pseudomonas petroselini					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas petroselini Sawada et al. 2022	(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Lactuca sativa		M.R.M. Clark 19083				1965	1965		No		Whole genome sequencing places this strain in P. petroselini (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1689	
NCPPB 1690					1690	Pseudomonas grimontii					Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925	Pseudomonas marginalis (Brown 1918) Stevens 1925	Pseudomonas grimontii Baïda et al. 2002	(Brown 1918) Stevens 1925	Bacteria	No	No	UK		2	NCPPB Primary Storage	Hyacinthus orientalis		M.R.M. Clark 19066/3				1965	1965		No		Whole genome sequencing places this strain in P. grimontii (NCPPB July 2023)			No				https://ncppb.fera.co.uk/furtherinfo/1690	
NCPPB 1693					1693	Robbsia andropogonis					Burkholderia andropogonis (Smith 1911) Gillis et al. 1995	Pseudomonas stizolobii	Pseudomonas andropogonis (Smith 1911) Stapp 1928, Burkholderia adropogonis (Smith 1911) Gillis et al. 1995, Paraburkholderia andropogonis (Gillis et al. 1995) Sawana et al. 2014	Lopes-Santos et al 2017	Bacteria	No	No	Uganda		2	NCPPB Primary Storage	Rheum rhaponticum		A.C. Hayward B2659A				1965	1965		No					No				https://ncppb.fera.co.uk/furtherinfo/1693	
NCPPB 1694					1694	Robbsia andropogonis					Burkholderia andropogonis (Smith 1911) Gillis et al. 1995	Pseudomonas stizolobii	Pseudomonas andropogonis (Smith 1911) Stapp 1928, Burkholderia adropogonis (Smith 1911) Gillis et al. 1995, Paraburkholderia andropogonis (Gillis et al. 1995) Sawana et al. 2014	Lopes-Santos et al 2017	Bacteria	No	No	Uganda		2	NCPPB Primary Storage	Rheum rhaponticum		A.C. Hayward B2659C				1965	1965		No					No				https://ncppb.fera.co.uk/furtherinfo/1694	
NCPPB 1695					1695	Ralstonia solanacearum					Ralstonia sp.		Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Tanzania		2	NCPPB Primary Storage	Saccharum officinarum			A.C. Hayward	ex D.R.W. Watson	B2669	1965	1965		Yes	Hayward, A.C. 1962. Occ. Pap. Maurit. Sug. Res. Inst. No. 13. (1962)	Taxon B (Hayward, 1962). Fatty acids typical of Ralstonia but BOX profile not typical of any R.sol bvs. Phylotype II (NCPPB May 2021)			No				https://ncppb.fera.co.uk/furtherinfo/1695	
NCPPB 1696					1696	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	P. hibisci.		van Hall 1902	Bacteria	No	No	Kenya		2	NCPPB Primary Storage	Hibiscus esculentus		A.C. Hayward B2675				1965	1965		Yes		REP-PCR cluster 67. Genomospecies 1?	ICMP 5074		No				https://ncppb.fera.co.uk/furtherinfo/1696	
NCPPB 1702					1702	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Fiji				Solanum tuberosum		A.C. Hayward B2122				1965	1964		Yes		Biovar III.							https://ncppb.fera.co.uk/furtherinfo/1702	
NCPPB 1703					1703	Ralstonia solanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Yabuuchi et al. 1996	Bacteria	No	No	Netherlands				Solanum tuberosum		A.C. Hayward B2674		.		1965	1965		No		Biovar II (atypical)							https://ncppb.fera.co.uk/furtherinfo/1703	
NCPPB 1752					1752	Pseudomonas savastanoi pv. phaseolicola					Pseudomonas syringae pv. phaseolicola ( Burkholder 1926 ) Young et al. 1976	Pseudomonas phaseolicola Burkholder 1926	Pseudomonas syringae pv. phaseolicola (Burkholder 1926) Young et al. 1978	( Burkholder 1926 ) Gardan et al. 1992	Bacteria	No	No	UK				Phaseolus coccineus		D.C. Graham				1965	1965		Yes									https://ncppb.fera.co.uk/furtherinfo/1752	
NCPPB 1753					1753	Pseudomonas syringae pv. delphinii					Pseudomonas syringae pv. delphinii (Smith 1904) Young, Dye & Wilkie 1978	Pseudomonas delphinii		(Smith 1904) Young, Dye & Wilkie 1978	Bacteria	No	No	UK				Delphinium elatum		D.C. Graham				1965	1965		No		LOPAT Group Ib							https://ncppb.fera.co.uk/furtherinfo/1753	
NCPPB 1761					1761	Pseudomonas syringae pv. antirrhini					Pseudomonas syringae pv. antirrhini (Takimoto 1920) Young Dye & Wilkie 1978	P.antirrhini		(Takimoto 1920) Young Dye & Wilkie 1978	Bacteria	No	No	UK		2	NCPPB Primary Storage	Antirrhinum majus		R.A. Lelliott A4				1965	1965		Yes					No				https://ncppb.fera.co.uk/furtherinfo/1761	
NCPPB 1763					1763	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Seychelles		2	NCPPB Primary Storage	Solanum lycopersicum		R. A. Lelliott Ps1				1965	1965		Yes		Biovar III. Phylotype I (NCPPB May 2021)			No				https://ncppb.fera.co.uk/furtherinfo/1763	
NCPPB 1764					1764	Pseudomonas savastanoi pv. glycinea					Pseudomonas savastanoi pv. glycinea ( Coerper 1919 ) Gardan et al. 1992	Pseudomonas glycinea Coerper 1919	Pseudomonas syringae pv. glycinea (Coerper 1919) Young et al.1976	( Coerper 1919 ) Gardan et al. 1992	Bacteria	No	No			2	NCPPB Primary Storage	Glycine max			H. Tachibana			1965			No	Tachibana, H., Shih, M. 1965. Plant Dis. Reptr. 49: 396	Leaf crinkling strain.Atypical REP-PCR profile			No				https://ncppb.fera.co.uk/furtherinfo/1764	
NCPPB 1766					1766	Pseudomonas syringae pv. maculicola					Pseudomonas syringae pv. maculicola (McCulloch 1911) Young, Dye & Wilkie 1978	Pseudomonas  maculicola		(McCulloch 1911) Young, Dye & Wilkie 1978	Bacteria	No	No	UK		2	NCPPB Primary Storage	Brassica oleracea var. botrytis		G.E. Jones 474				1965	1965		Yes		Partial gene (rpoD) sequence is identical to the pathotype strain NCPPB 2039 (July 2016)	ATCC 33190, ICMP 5034		No				https://ncppb.fera.co.uk/furtherinfo/1766	
NCPPB 1767					1767	Pseudomonas syringae					Pseudomonas syringae van Hall 1902	Pseudomonas syringae van Hall 1902		van Hall 1902	Bacteria	No	No	UK		2	NCPPB Primary Storage	Trifolium pratense		R.A. Lelliott C7				1965	1965		Yes	Oxtoby, J., Lelliot, R.A. 1966. Plant Path. 15: 129		ICMP 4914		No				https://ncppb.fera.co.uk/furtherinfo/1767	
NCPPB 1768					1768	Pseudomonas syringae pv. atropurpurea					Pseudomonas syringae pv. atropurpurea (Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Pseudomonas atropurpurea		(Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Bacteria	No	No	UK		2	NCPPB Primary Storage	Agrostis sp.		D.C. Graham G127				1965	1965		Yes					No				https://ncppb.fera.co.uk/furtherinfo/1768	
NCPPB 1769					1769	Pseudomonas syringae pv. atropurpurea					Pseudomonas syringae pv. atropurpurea (Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Pseudomonas atropurpurea		(Reddy & Godkin 1923) Young, Dye & Wilkie 1978	Bacteria	No	No	UK		2	NCPPB Primary Storage	Arrhenatherum elatius		D.C. Graham G128				1965	1965		Yes					No				https://ncppb.fera.co.uk/furtherinfo/1769	
NCPPB 1770					1770	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	Pseudomonas syringae		van Hall 1902	Bacteria	No	No	UK		2	NCPPB Primary Storage	Phaseolus vulgaris.		D.C. Graham G129				1965	1965		Yes			ICMP 3889		No				https://ncppb.fera.co.uk/furtherinfo/1770	
NCPPB 1777					1777	Pseudomonas syringae pv. maculicola					Pseudomonas syringae pv. maculicola (McCulloch 1911) Young, Dye & Wilkie 1978	Pseudomonas  maculicola		(McCulloch 1911) Young, Dye & Wilkie 1978	Bacteria	No	No	UK				Brassica oleracea var. botrytis		R.A. Lelliott Pm3				1965	1965		Yes		Partial gene (rpoD) sequence is identical to the pathotype strain NCPPB 2039 (July 2016)							https://ncppb.fera.co.uk/furtherinfo/1777	
NCPPB 1778					1778	Pseudomonas syringae pv. antirrhini					Pseudomonas syringae pv. antirrhini (Takimoto 1920) Young Dye & Wilkie 1978	P. fluroescens var. antirrhinastri		(Takimoto 1920) Young Dye & Wilkie 1978	Bacteria	No	No	Australia				Antirrhinum majus		M. L. Moffett 16266				1965	1964		Yes	Moffett, M.L. 1966. Qd. J. Agric. Anim. Sci. 23: 121				No				https://ncppb.fera.co.uk/furtherinfo/1778	
