NCPPB ID	BioSample	NCBI strain	NCBI assemblies	PhytoBacExplorer assemblies	NCPPB_number	taxon	genus	species	sub_species	pathovar	catalogue_name	name_as_received	synonyms	organism_author	organism_type	type_strain	pathotype_strain	country_of_origin	country_of_isolation	location	location_name	host	isolated_from	isolated_by	donor	donor_institution	donor_reference	year_of_accession	year_of_isolation	pathogenic_to	pathogenicity_confirmed	literature	public_notes	other_collections	sequence_types	sequenced	sequencing_notes	url_link_ncbi	url_link_q_bank	detail_url	Basis for match
NCPPB 225	SAMD00538058 SAMEA104365385 SAMN03460427 	   	GCF_900235805.1 GCF_000980905.1 		225	Pseudomonas syringae pv. dysoxyli					Pseudomonas syringae pv. dysoxyli (Hutchinson 1949) Young, Dye & Wilkie 1978	Pseudomonas dysoxyli	Pseudomonas dysoxyli	(Hutchinson 1949) Young, Dye & Wilkie 1978	Bacteria	No	Yes	New Zealand (Auckland)		2	NCPPB Primary Storage	Dysoxylum spectabile (Forst.f.) Hook.f.  (Kohekohe			DSIRNZ			1949			No	Young, J. M.; Wilkie, J. P.; Park, D.-C.; Watson, D. R. W. (2010)New Zealand strains of plant pathogenic bacteria classified by multi-locus sequence analysis; proposal ofXanthomonas dyeisp. nov.Plant Pathology59(2)270-281. DOI: 10.1111/j.1365-3059.2009.02210.x Young, J.M.; Triggs, C.M. (1994)Evaluation of determinative tests for pathovars of Pseudomonas syringae van Hall 1902.Journal of Applied Bacteriology77(2)195-207. DOI: 10.1111/j.1365-2672.1994.tb03064.x Visnovsky, Sandra B.; Panda, Preeti; Everett, Kerry R.; Lu, Ashley; Butler, Ruth C.; Taylor, Robert K.; Pitman, Andrew R. (2020)A PCR diagnostic assay for rapid detection of plant pathogenic pseudomonads.Plant Pathology69(7)1311-1330. DOI: 10.1111/ppa.13204 Ferreira-Tonin, Mariana; Rodrigues-Neto, Júlio; Harakava, Ricardo; Destéfano, Suzete Aparecida Lanza (2012)Phylogenetic analysis of Xanthomonas based on partial rpoB gene sequences and species differentiation by PCR-RFLP. International Journal of Systematic and Evolutionar	LOPAT Group II. The bacterial disease of the native New Zealand plant Dysoxylum spectabile (Kohekohe) with the symptoms of greasy translucent leaf lesions, 'shotholes' in the leaf tissue, and greasy lesions in the leaf axils is caused by Xanthomonas dyei pv. dysoxyli.	ATCC 19863, ICMP 545, LMG 5662, CFBP 2356		No				https://ncppb.fera.co.uk/furtherinfo/225	 Other_CC = ATCC 19863 ; ICMP 545 ; NCPPB 225; history = IFO 14076 <- ATCC 19863 <- NCPPB 225 <- Dept. Sci. Ind. Res., New Zealand;  title = P. syringae pv. persicae NCPPB 2254; sample_name = NCPPB 2254; Submitter_Id = NCPPB 2254;  strain = NCPPB 2254; 
NCPPB 244	SAMN03879927 SAMN03976502 	  	GCF_001411965.1 GCF_003699065.1 		244	Pseudomonas putida					Pseudomonas putida (Trevisan 1889) Migula 1895	P. barkeri (cotype of P. Barkeri).		(Trevisan 1889) Migula 1895	Bacteria	No	No			2	NCPPB Primary Storage	Pyrus communis		ex B.T.P. Barker	NCTC 393			1920			No			ATCC 6876		No				https://ncppb.fera.co.uk/furtherinfo/244	 strain = NCPPB2445; title = Pcor NCPPB2445;  title = PcoNCPPB2445; strain = NCPPB2445; 
NCPPB 249					249	Pseudomonas aeruginosa					Pseudomonas aeruginosa (Schroeter 1872) Migula 1900			(Schroeter 1872) Migula 1900	Bacteria	No	No	USA		2	NCPPB Primary Storage				NCTC 1995	ex E. Mehta		1924			No					No				https://ncppb.fera.co.uk/furtherinfo/249	
NCPPB 253					253	Ralstonia pseudosolanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996, Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Safni et al. 2014	Bacteria	No	No	Mauritius		2	NCPPB Primary Storage	Casuarina equisetifolia		G. Orian B14				1949	1949		No	Orian, G. 1960. Rev. Agric. Suc. Ile Maurice 40: 17	Biovar III			No				https://ncppb.fera.co.uk/furtherinfo/253	
NCPPB 268					268	Pseudomonas syringae pv. porri					Pseudomonas syringae pv. porri Samson, Poutier & Rat 1981	Pseudomonas sp.		Samson, Poutier & Rat 1981	Bacteria	No	No	UK		2	NCPPB Primary Storage	Allium porrum		W.J. Dowson				1949	1949		No	Lelliott, R.A. 1952. Plant Path. 1: 84		ICMP 3642, CFBP 1687		No				https://ncppb.fera.co.uk/furtherinfo/268	
NCPPB 269					269	Pseudomonas syringae pv. tomato					Pseudomonas syringae pv. tomato (Okabe 1933) Young, Dye and Wilkie 1978	Pseudomonas tomato		(Okabe 1933) Young, Dye and Wilkie 1978	Bacteria	No	No	Denmark		2	NCPPB Primary Storage	Solanum lycopersicum			E. Hellmers			1949	1949		Yes					No				https://ncppb.fera.co.uk/furtherinfo/269	
NCPPB 277					277	Pseudomonas syringae pv. lachrymans					Pseudomonas syringae pv. lachrymans (Smith & Bryan 1915) Young, Dye & Wilkie 1978	Pseudomonas lachrymans		(Smith & Bryan 1915) Young, Dye & Wilkie 1978	Bacteria	No	No	Denmark				Cucumis sativus			E. Hellmers			1950			Yes					No				https://ncppb.fera.co.uk/furtherinfo/277	
NCPPB 280					280	Pseudomonas syringae pv. mellea					Pseudomonas syringae pv. mellea (Johnson 1923) Young, Dye & Wilkie 1978	Pseudomonas  mellea		(Johnson 1923) Young, Dye & Wilkie 1978	Bacteria	No	No	Tanzania		2	NCPPB Primary Storage	Nicotiana rustica			G.B. Wallace			1950	1950		No		LOPAT Gp II (NCPPB).	ATCC 19868, ICMP 3879		No				https://ncppb.fera.co.uk/furtherinfo/280	
NCPPB 281					281	Pseudomonas syringae pv. syringae					Pseudomonas syringae pv. syringae van Hall 1902	Pseudomonas syringae		van Hall 1902	Bacteria	Yes	Yes	UK		2	NCPPB Primary Storage	Syringa vulgaris		K.A. Sabet				1950	1950		Yes		Exhibits ice nucleation activity.REP-PCR exclusive lilac /forsythia group.Genomospecies 1?	ATCC 19310, ICPB PS255, ICMP 3023, CFBP 1392, LMG 1247, CCUG 14279		No				https://ncppb.fera.co.uk/furtherinfo/281	
NCPPB 282					282	Ralstonia solanacearum					Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	Burkholderia solanacearum (Smith 1896) Yabuuchi et al. 1993, Pseudomonas solanacearum (Smith 1896) Smith 1914	(Smith 1896) Yabuuchi et al. 1996	Bacteria	No	No	Colombia		2	NCPPB Primary Storage	Solanum tuberosum			J.G. Hawkes			1950	1950		No		Biovar II.	ICPB PS149		No				https://ncppb.fera.co.uk/furtherinfo/282	
